Korean,English
시계,clock
시기,December
시끄러울 거예요,"to be noisy, loud, chaotic"
시끄러워요,"to be noisy, loud, chaotic"
시끄럽다,"to be noisy, loud, chaotic"
시끄웠어요,"to be noisy, loud, chaotic"
시내,"the city, downtown, stream, brook"
시냇가,bank of a stream
시대,"the first day, opening day"
시도하다,"to try, attempt"
시드니,Sydney
시리즈,series
시멘트,cement
시민,living room
시베리아,Siberia
시상식,awards ceremony
시선,"one's eyes, gaze, focused eyes"
시설,"establishment, facilities"
시스템,system
시시포스,Sisyphus
시시하다,film festival
시애틀,Seattle
시외,"the suburbs, outside the city limits"
시인,poet
시작,"beginning, start, begin"
시작하다,"to start, to begin"
시장,"skiing, skis"
시절,"mechanic, technician"
시제,"any place, anywhere"
시집,"mister, middle-aged man, uncle"
시청자,"viewer, TV audience"
시체,"corpse, dead body"
시켜요,"target, mark"
시켰어요,"target, mark"
시코쿠,Shikoku
시크교,Sikhism
시키다,"target, mark"
시킬 거예요,"target, mark"
시킴 주,Sikkim
시합하다,"to play against, play a game, have a competition"
시험,"exam, test"
시험지,test paper
식,paper cup
식구,x
식당,"restaurant, cafeteria, diner, dining room"
식물,"plant, vegetation"
식민주의,colonialism
식빵,cake
식사,"picture, photo"
식상하다,"to be fed up, sick and tired"
식용유,cooking oil
식초,vinegar
식탁,dining table
식혜,sweet rice drink
식후,after a meal
신,sour
신간,new book
신고하다,"to report, delcare, notify"
신기하다,beige
신나,excited
신나는,exciting
신랑,groom
신뢰,credit
신문,newspaper
신문 기자,journalist
신발,"shoes, footwear"
신부,blind date
신분,body weight
신분증,ID card
신비하다,to be mysterious
신사,gentleman
신성 로마 제국,Holy Roman Empire
신성한,holy
신속하다,"to be pure white, snow-white"
신앙심이 깊은,pious
신약성서,New Testament
신용카드,credit card
신입사원,newly hired employee
신전,temple
신제품,new product
신청곡,song request
신청서,application form
신청하다,"to apply for, request, subscribe, ask out, register"
신체,"teller, bank clerk"
신촌,Sinchon
신형,"new model, new style"
신호,"signal, code, sign"
신호등,"traffic light, traffic signal"
신혼부부,newly wed couple
신혼여행,honeymoon
신화,mythology
싣다,taking a course
실,alone
실례,"sequential, order"
실례하다,to be excused
실망시켜요,to disappoint
실망시켰어요,to disappoint
실망시키다,to disappoint
실망시킬 거예요,to disappoint
실망하다,"to contrast, compare"
실시간,"real time, live"
실시하다,"to implement, carry out, execute, enforce, come into effect"
실어요,taking a course
실업,unemployment
실었어요,taking a course
실연하다,"obligation, duty, responsibility"
실외,"outdoors, outside the room or house"
실을 거예요,taking a course
실장,refrigerator
실제,"in one's presence, to one's face"
실제로,"in fact, actually, in reality, really, in effect"
실천,beef rib soup
실체,"to arrange, set up, organize"
실크,silk
실크로드,Silk Road
실패하다,"to fail, go wrong, be unsuccessful"
실행,practice
실험하다,"to perform an experiment, test"
실화,"true story, real life story"
싫다,to be unlikeable
싫어요,to be unlikeable
싫어하다,"to hate, to not like it"
싫었어요,to be unlikeable
싫을 거예요,to be unlikeable
심각하다,"love, affection"
심경,"mind, feelings, mental state"
심다,"to be slippery, greasy, slick"
심리,appetizer
심리학,psychology
심부름,errand
심사하다,x
심심하다,to be bored
심어요,"to be slippery, greasy, slick"
심었어요,"to be slippery, greasy, slick"
심을 거예요,"to be slippery, greasy, slick"
심장,drop of water
심장학,cardiology
심하다,"to broadcast, televise"
십,5.0
십대,"teenage, teens"
싱가포르,Singapore
싱싱한,fresh
싱크대,sink
싸움하다,"to be dangerous, risky"
싹,bud
쌀,uncooked rice
쌈밥,rice wrapped in greens
쌍,"pair, couple, double"
쌍둥이,twins
쌓다,dry season
쌓이다,"to be cheerful, pleasant, rhythmical"
썰다,"business hours, office hours"
썰매,"sled, sleigh"
쐐기벌레,caterpillar
쓰다,write
쓰다듬다,"to stroke, pat, pet"
쓰레기,"garbage, trash, waste"
쓰레기통,"swimming, bathing, swim"
쓸데없다,"to be useless, unnecessary, no point to do"
쓸쓸하다,"love, affection"
씁쓸하다,"to be bitter, disappointed"
씨,seed
씨앗,seed
아가멤논,Agamemnon
아가씨,"miss, young lady"
아군,"our forces, ally, friendly forces"
아기,baby
아까,earlier
아깝다,diplomat
아낌없이,"generously, unsparingly, freely"
아나운서,announcer
아나키즘,anarchism
아낙시만드로스,Anaximander
아내,wife
아니다,"something one is proud of, pride and joy"
아니면,or
아니었어요,"to close, shut, shut down"
아니에요,"to close, shut, shut down"
아닐 거예요,"to close, shut, shut down"
아덴 만,Gulf of Aden
아도니스,Adonis
아드님,"one's elder brother's wife, sister in law"
아들,"son, boy"
아라곤 지방,Aragon
아라비아 해,Arabian Sea
아랍,Arab
아랍 문자,Arabic alphabet
아랍에미리트,United Arab Emirates
아래,"under, beneath"
아래로,down
아래쪽,"down, lower part, bottom side, downard"
아래층,"downstairs, lower floor"
아레스,Ares
아루바,Aruba
아르누보,art nouveau
아르바이트,part-time job
아르키메데스,Archimedes
아름다운,beautiful
아름답다,"spark, flame"
아리랑,wallet
아리스토텔레스,Aristotle
아리스토파네스,Aristophanes
아리우스주의,Arianism
아마,"probably, maybe, likely, possibly"
아마추어,amateur
아메리카,America
아무,x
아무것,anything
아무나,"anybody, anyone"
아무데나,"any place, anywhere"
아무도,"no one, nobody"
아무래도,x
아버지,father
아비장,Abidjan
아빠,dad
아삼 주,Assam
아쉬워하다,x
아스가르드,Asgard
아스트라한,Astrakhan
아스팔트,asphalt
아시리아,Assyria
아시아,Asia
아예,Korean pancake
아웃,out
아이,father
아이네이아스,Aeneas
아이돌,k-pop band member
아이디어,idea
아이소포스,Aesop
아이스퀼로스,Aeschylus
아이스크림,ice cream
아저씨,"mister, middle-aged man, uncle"
아주,snake
아줌마,"ma'am, middle aged woman"
아직,still
아침,"morning, breakfast"
아침 식사,breakfast
아침저녁,morning and evenings
아카시아,acacia
아콩카과 산,Aconcagua
아킬레우스,Achilles
아틀라스 산맥,Atlas Mountains
아파트,apartment
아파하다,"to suffer, be hurting, to be in pain"
아편,opium
아포스트로피,apostrophe
아프리카,Africa
아픔,"direction, way, course"
아홉,50.0
악,evil
악기,musical instrument
악마,"devil, satan"
악명,"evil reputation, notorious"
악몽,"bad dream, nightmare"
악수,platform
악어,"crocodile, alligator"
악역,"villain, bad guy"
악취,"bad smell, stink"
악필,ugly handwriting
악행,"evil deed, wrongdoing"
안,"effect, efficiency, effectiveness"
안개,"fog, mist"
안경,"glasses, eyeglasses"
안내,"everywhere, all over, thoroughly, completely"
안내서,manual
안내원,guide
안내하다,change of seasons
안데스 산맥,Andes
안동,Andong
안방,"master bedroom, main room"
안부,rice field
안심하다,"to be relieved, rest easy, relax"
안약,eye drops
안장,saddle
안전,security
안전띠,safety belt
안전하다,"to be safe, secure"
안전한,safe
안정성,stability
안주,orange juice
앉다,"to sit, sit down"
앉아요,"to sit, sit down"
앉았어요,"to sit, sit down"
앉은황소,Sitting Bull
앉을 거예요,"to sit, sit down"
알,x
알 거예요,to know
알다,to know
알데하이드,aldehyde
알라,Allah
알라닌,alanine
알레고리,allegory
알맞다,"to be fitting, suitable, appropriate, proper, right"
알맞아요,"to be fitting, suitable, appropriate, proper, right"
알맞았어요,"to be fitting, suitable, appropriate, proper, right"
알맞을 거예요,"to be fitting, suitable, appropriate, proper, right"
알아내다,"to discover, figure out, identify, find out"
알아보다,"intention, decision, plan, resolution"
알아볼 거예요,"intention, decision, plan, resolution"
알아봐요,"intention, decision, plan, resolution"
알아봤어요,"intention, decision, plan, resolution"
알아요,to know
알아차리다,"to realize, notice, become aware, percieve, understand, take in"
알았어요,to know
알약,"pill, tablet"
알코올,alcohol
알파벳,alphabet
암,yes
암내,armpit smell
암모니아,ammonia
암소,"cow, cattle"
암초,reef
암컷,bitch
암탉,hen
암호,"code, cipher, password"
암흑 물질,dark matter
압도적으로,overwhelmingly
앞,"the front, head"
앞두다,to have something ahead
앞면,the front side
앞서,"less, a little less"
앞서다,"to go before, precede, get ahead of, take the lead"
앞서요,"to go before, precede, get ahead of, take the lead"
앞설 거예요,"to go before, precede, get ahead of, take the lead"
앞섰어요,"to go before, precede, get ahead of, take the lead"
앞줄,front row
앞지르다,"to pass, overtake, get ahead, do early"
앞치마,apron
애들,mother
애들레이드,Adelaide
애완동물,pet
애인,"to look for, hunt after, rummage"
애정,"love, affection"
애태우다,full moon
액션,action
액자,picture frame
액체,liquid
앤티가 바부다,Antigua and Barbuda
앨버타 주,Alberta
앵무새,parrot
야경,night view
야구,baseball
야릇하다,Korean harp
야만적,"uncivilized, savage"
야망,"ambition, aspiration"
야생의,wild
야식,late-night snack
야외,"outside, open air, the outdoors"
야채,"to undertake, be in charge"
약간,acupuncture
약국,pharmacy
약도,"rough map, sketch map"
약사,pharmacist
약속,"evil reputation, notorious"
약어,abbreviation
약탈하다,"to plunder, loot, pillage"
약한,weak
약혼자,fiance
얇은,thin
양,sheep
양귀비,poppy
양념,spice
양로원,nursing home
양말,socks
양배추,cabbage
양보하다,"to yield, give, concede"
양복,suit
양서류,amphibian
양성애,bisexuality
양성의,positive
양성자,proton
양손,both hands
양식,style
양심,conscience
양자역학,quantum mechanics
양쪽,"both sides, both parties"
양초,candle
양치 식물,fern
양치기,shepherd
양파,onion
얘기,"bullshit, rubbish, nonsense, fake, cheat"
어긋나다,"flame, blaze"
어깨,"membership fee, subscription, dues"
어느,which
어느새,"before I knew it, in no time, already, quickly, so soon"
어두운,dark
어둠,"darkness, the dark"
어디,Where
어딘가,somewhere
어떤,what kind of characteristics...
어떻게,"to get caught, be discovered"
어려요,15.0
어려울 거예요,"to be hard, difficult"
어려움,"difficulty, trouble, problem, hardship"
어려워요,"to be hard, difficult"
어려웠어요,"to be hard, difficult"
어렵다,"to be hard, difficult"
어렸어요,15.0
어뢰,torpedo
어리다,15.0
어리석은,foolish
어린애,x
어린이,"young children, kids"
어릴 거예요,15.0
어림없다,"to be far from, beyond, ridiculous, unreasonable, absurd, inestimable"
어머니,mother
어묵,fish cake
어버이,parents
어색하다,to be awkward
어설프다,"to be imperfect, not adequate, sloppy, awkward, careless"
어염되다,"to be contaminated, infected, polluted"
어원학,etymology
어제,yesterday
어젯밤,last night
어지럽다,hockey
어지르다,to make a mess
어쨌든,"requiring payment, state of charging a fee"
어쩌자고,x
어쩌지,"deep sleep, sound sleep"
어찌,"land, shroe, dry land"
어차피,"new model, new style"
어학,"language learning, linguistics"
어학연수,language study abroad
어휘,"vocabulary, stock of words"
억양,"intonation, accent"
억제,control
억지로,"against one's will, by force, reluctantly"
언급,"help, aid, assistance, support"
언니,"young man, young people, youth"
언덕,hill
언론,"rule, reign, governance"
언어,language
언어학,linguistics
언제,When
언제든지,"at any time, whenever, anytime"
언젠가,someday
언짢다,"efficient, efficiency"
얻다,"to obtain, acquire, get, gain"
얻어요,"to obtain, acquire, get, gain"
얻었어요,"to obtain, acquire, get, gain"
얻을 거예요,"to obtain, acquire, get, gain"
얼굴,face
얼룩,"stain, spot"
얼룩말,zebra
얼른,x
얼마에,price
얼빠지다,judge
얼어붙다,to jump rope
얼음,ice
얽히다,"to be tangled, complicated, invovled, concerned with, related to"
엄마,mom
엄숙한,serious
엄연하다,waiting person???
엄청나다,"to be huge, enormous, tremendous, overwhelming"
엄청나요,"to be huge, enormous, tremendous, overwhelming"
엄청날 거예요,"to be huge, enormous, tremendous, overwhelming"
엄청났어요,"to be huge, enormous, tremendous, overwhelming"
업다,delusion
업무,"guard, bodyguard, escort"
업체,x
없어지다,civilization
엉겅퀴,thistle
엉금엉금,"crawling, creeping"
엉덩이,"butt, buttocks"
엉망,"wreck, mess, bad shape"
엉터리,"bullshit, rubbish, nonsense, fake, cheat"
엊그제,couple days ago
에너지,"energy, power"
에드먼턴,Edmonton
에든버러,Edinburgh
에라토스테네스,Eratosthenes
에센,Essen
에스터,ester
에스페란토,Esperanto
에어버스,airbus
에어컨,air conditioner
에우리피데스,Euripides
에우클레이데스,Euclid
에코시스템,ecosystem
에펠 탑,Eiffel Tower
에펠탑,Eiffel Tower
에피소드,episode
에피쿠로스,Epicurus
엑스레이,x-ray
엔지니어,engineer
엔진,engine
엘리베이터,elevator
여가,"leisure, spare time, free time"
여관,"inn, motel"
여권,volcano
여기,here
여단,brigade
여덟,40.0
여동생,younger sister
여러,"several, many, a lot of"
여러분,"everyone, everybody, ladies and gentlemen"
여름,summer
여리다,"to be tender, gentle, soft, delicate, fragile"
여배우,actress
여보,"Honey, Dear"
여사,"Mrs. , madame"
여섯,20.0
여성,"women, the female sex"
여송연,cigar
여신,goddess
여왕,queen
여우,fox
여유,Wednesday
여유롭다,to be leisurley
여자,"woman, female"
여자친구,girlfriend
여전하다,"to be unchanged, be as usual, as it was before"
여전히,"still, as ever, just as it was before"
여쭤보다,seagull
여쭤볼 거예요,to rest
여쭤봐요,to rest
여쭤봤어요,to rest
여학생,female student
여행,"trip, travel"
여행사,travel agency
여행용,"for travel, travel"
여호와의 증인,Jehovah's Witnesses
역,station
역사,history
역사가,historian
역사적,"historical, being historic"
역설,paradox
역청,bitumen
역학,mechanics
역할,"role, part"
연,kite
연결하다,"to connect, link, attach"
연구,"main occupation, day job, primary job"
연구소,research institute
연구자,researcher
연극,"success, succeed"
연금,pension
연기,"performance, acting"
연기자,"public performance, concert, show"
연기하다,x
연대,regiment
연락선,ferry
연락처,contact information
연락하다,"to deal with, face each other"
연령,age
연료,fuel
연말,end of the year
연못,pond
연보라,"light purple, violet"
연봉,annual salary
연설,"speech, address"
연세,"item name, list of goods"
연습실,practice room
연습하다,"to practice, train, exercise"
연애,"class, grade, ranking, rating"
연약하다,"to be weak, delicate, frail"
연인,"sweetheart, lover, couple"
연장,tool
연장하다,"rotation, shift, alternation, take turns, relief"
연필,pencil
연하,"younger, junior, younger person"
연합,federation
연휴,"long holiday, consecutive holidays, long weekend"
열,60.0
열 거예요,to open
열다,to open
열매,"fruit, nut, berry"
열쇠,key
열심히,"diligently, passionately"
열애,passionate love
열어요,to open
열었어요,to open
열역학,thermodynamics
열연,enthusiastic performance
열하나,19.0
열흘,"ten days, the tenth day"
염려,"worry, fear, anxious, concerning, worry"
염색체,chromosome
염색하다,to dye
엽록체,chloroplast
엽서,postcard
엿듣다,"to eavesdrop, overhear, listen in"
엿새,six days
영광,"honor, glory"
영구히,"eternally, permanently, last endlessly without changing"
영국,United Kingdom
영국 해협,English Channel
영국령 버진 아일랜드,British Virgin Islands
영리하다,"to be smart, clever, intelligent"
영사,consul
영사관,consulate
영수증,receipt
영양,"nutrition, nutrient, nourishment"
영어,english
영업시간,"business hours, office hours"
영웅,"hero, heroine"
영원하다,"to be eternal, last forever"
영원히,"forever, eternally, permanently, for good"
영장류,primate
영하,"temperature below freezing, below zero"
영향,"influence, effect, impact"
영혼,"soul, spirit"
영화,movie
영화관,tent
영화제,film festival
옆집,"next door, neighboring house"
예감,"premonition, foreboding, hunch"
예고,"advance notice, warning, previous notice"
예고편,"preview, trailer"
예금,"deposit, savings"
예리하다,"to be sharp, keen"
예문,"real estate, property, real estate agent"
예방하다,to prevent
예배,worship
예뻐요,"to be pretty, beautiful, cute"
예뻐하다,to consider someone pretty and treat them as...
예뻤어요,"to be pretty, beautiful, cute"
예쁘다,"to be pretty, beautiful, cute"
예쁠 거예요,"to be pretty, beautiful, cute"
예산,budget
예순,205.0
예술,blue jeans
예술가,artist
예습,"preparation, rehearsal, studying in preparation for"
예식장,"ceremony hall, wedding hall"
예약,"reservation, booking, appointment"
예언,"prophecy, prediction, foretell"
예언자,prophet
예외,exception
예의,secondhand goods
예전,k-pop band member
예절,"seawater, salt water"
예정,"long term, a long time"
옐로스톤 국립공원,Yellowstone National Park
옛날,Han River
옛날얘기,"folk tale, and old story, legend"
옛일,things of the past
오,10.0
오늘,today
오다,to come
오답,"wrong answer, incorrect answer"
오대호,Great Lakes
오디세우스,Odysseus
오디세이아,Odyssey
오딘,Odin
오래,a long time
오래간만,first time in a while
오래오래,"for a long time, forever"
오랜만에,after a long time
오랫동안,"to be well built, have a strong physique"
오렌지,orange
오렌지 주스,orange juice
오류,"error, mistake, fallacy, miscalculation"
오르다,consonant
오르트 구름,Oort cloud
오른손,right hand
오른쪽,right side
오른쪽의,right
오리,duck
오만하다,"to be arrogant, stuck-up, snobby"
오븐,oven
오사카 시,Osaka
오소리,badger
오스트라바,Ostrava
오스트랄라시아,Australasia
오스트레일리아,Australia
오슬오슬,shivering
오시리스,Osiris
오싹하다,"to shudder, feel a chill, get goosebumps, be creeped out"
오아시스,oasis
오전,before noon
오존,ozone
오직,"only, solely, exclusively, just"
오진,"wrong diagnosis, misdiagnosis"
오징어,"squid, cuttlefish"
오케스트라,orchestra
오클랜드,Auckland
오토바이,"motorcycle, scooter"
오페라,opera
오피스텔,studio apartment
오해,"misunderstanding, misconception"
오후,after noon
오히려,the middle ten days of a month
옥상,Folk village
옥수수,corn
옥스퍼드,Oxford
온,"to invest, make an investment"
온기,warmth
온도,temperature
온도계,thermometer
온돌방,room with the Korean floor heating system
온라인,online
온몸,entire body
온전하다,x
온종일,yesterday
온천,hot spring
온타리오 주,Ontario
올 거예요,to come
올라가다,"enforcement, coercion, pressure, impose"
올라오다,"to come up, ascend"
올라올 거예요,"to come up, ascend"
올라와요,"to come up, ascend"
올라왔어요,"to come up, ascend"
올리다,x
올림픽,Olympics
올바로,"honestly, uprightly, properly, be on the right track"
올케,the wife of a girl's brother
올해,spring
옮기다,February
옴,ohm
옴의 법칙,Ohm's law
옷,clothes
옷걸이,"coat hanger, hanger"
옷장,"wardrobe, closet"
옷차림,"dress, attire, getup"
와요,to come
와이셔츠,shirt
와인,yoga
완벽하다,"to be perfect, flawless, immaculate"
완수하다,"to carry out, accomplish, complete, fulfill"
완전하다,"to be perfect, complete, flawless"
완전한,absolute
완전히,"completely, entirely, fully, absolutely, thoroughly, quite, perfectly"
완패,"complete defeat, crushing defeat"
왔어요,to come
왕,king
왕관,"crown, tiara"
왕따,"outcast, loner, bullied"
왕복,"round trip, travel back and forth"
왕비,"queen, empress"
왕위,throne
왕자,prince
왜,Why
왜가리,heron
왜냐하면,"because, since, by reason of"
왠지,"somehow, for some reason"
외가,"one's mother's parents' home, grandparents house"
외과,surgery
외교,diplomacy
외교관,diplomat
외국,foreign country
외국어,foreign language
외국인,"foreigner, alien"
외동딸,only daughter and only child
외래어,loan words
외로울 거예요,to be lonely
외로워요,to be lonely
외로웠어요,to be lonely
외롭다,to be lonely
외모,bookstore
외부,"result, outcome, consequence, effect"
외숙모,"aunt, mom's brother's wife"
외식하다,"to dine out, go out to eat"
외아들,"only son, only child"
외우다,to memorize
외울 거예요,to memorize
외워요,to memorize
외웠어요,to memorize
외할아버지,maternal grandfather
왼손,left hand
왼쪽의,left
왼쯕,left
왼편,the left side
요가,yoga
요거트,yogurt
요구하다,studio apartment
요금,"charge, fee, fare"
요람,cradle
요리,"cooking, dish"
요리사,"cook, chef"
요리책,cookbook
요리하다,to cook
요소,factor
요술,"magic, sorcery"
요일,day of the week
요청하다,"to be free, have leisure, have time to spare, be unhurried"
요코하마 시,Yokohama
요하네스버그,Johannesburg
욕먹다,x
욕설,"insult, abusive language, swear, profanity, curse"
욕실,bathroom
욕심,"greed, desire"
욕조,bathtub
용감하다,"to be brave, daring, courageous"
용건,"business, matter of business"
용광로,furnace
용기,vessel
용돈,"pocket money, allowance, spending money"
용모,"appearance, look, facial features"
용서하다,"to forgive, pardon, excuse"
용암,lava
용적,volume
용지,form
우루과이,Uruguay
우르두어,Urdu
우르르,"all together, all over, swarm, croud"
우리,daughter
우리의,our
우물,well
우박,hail
우산,umbrella
우선,"several, many, a lot of"
우승,"victory, championship, taking first place, being a champion"
우애,brotherly love
우연,"coincidence, chance, fluke, accident"
우연히,"by chance, accidentally, coincidentally"
우울하다,"to be innocent, guiltless, not guilty"
우유,milk
우유부단하다,"to be indecisive, wishy-washy"
우정,friendship
우주,"universe, space"
우체국,post office
우체부,mailman
우체통,mailbox
우측,right
우편함,mailbox
우표,"reporter, journalist, editor"
우회전하다,to turn right
운,"incident, affair, event, case, accident"
운동,exercise
운동복,sportswear
운동장,this and that
운동하다,"to exercise, to work out"
운동화,"sports shoes, sneakers"
운동회,"sports day, field day"
운명,"fate, destiny"
운석,meteorite
운전,driving
운전사,"driver, chauffeur"
운전자,driver
운전하다,to drive
운하,canal
울보,crybaby
울음,crying
울적하다,"to be depressed, gloomy, cheerless, down and lonely"
울타리,fence
움직이다,x
움직임,"movement, motion, activity"
웃다,"to laugh, smile"
웃어요,"to laugh, smile"
웃었어요,"to laugh, smile"
웃을 거예요,"to laugh, smile"
웃음,"laughter, laugh, giggle, smile"
웅변,"eloquence, being clear, oratory"
워낙,wolf
원,Korean currency
원기,fixed-price system
원래,"less, a little less"
원리주의,fundamentalism
원망하다,"full, fully occupied"
원목,hardwood
원상 복구하다,restoration to the original state
원숭이,monkey
원인,"cause, factor, reason"
원자,atom
원자 번호,atomic number
원장,"iron pot, cauldron"
원점,"starting point, square one, origin"
원주,cylinder
원주율,pi
원피스,dress
원하다,"on the brink, verge, just before"
원한,"grudge, resentment"
월,month
월 말,end of the month
월급,monthly salary
월세,monthly rent
월식,lunar eclipse
월요일,Monday
월차,monthly leave
웨딩드레스,wedding dress
웨스턴오스트레일리아 주,Western Australia
웨스트뱅크,West Bank
웨이터,waiter
웬일,"what matter, what cause, what reason, what is it"
위,"surprise, unexpected thing, an accident"
위기,"crisis, emergency, critical situation"
위대하다,"to be useless, unnecessary, no point to do"
위대한,great
위반하다,"to violate, break, go against, infringe"
위선,hypocrisy
위엄,sportswear
위었어요,to rest
위층,"upstairs, upper floor"
위치,location
위하다,"to do for the sake of, on behalf of, be for"
위험,"danger, risk, hazardous"
위험하다,"to be dangerous, risky"
위협,"threat, intimidation"
윗사람,"one's senior, one's superior"
윙크하다,to wink
유감,"regret, dissatisfaction"
유고슬라비아,Yugoslavia
유교,Confucianism
유기화학,organic chemistry
유난히,immediately after
유년기,childhood
유니콘,unicorn
유대교,Judaism
유도,judo
유라시아,Eurasia
유람선,"cruise ship, excursion boat"
유래,"origin, derive from"
유럽,Europe
유럽 중앙은행,European Central Bank
유로,euro
유로화,euro
유료,"requiring payment, state of charging a fee"
유리,glass
유리창,glass window
유리한,advantageous
유망하다,"to be promising, hopeful, bright"
유머,humor
유명하다,"to be famous, well-known"
유모차,"stroller, baby carriage"
유목민,nomad
유배,"banishment, exile"
유부남,married man
유부녀,married woman
유산,Korean-style house
유언,"will, testament, dying wish"
유인원,ape
유일하다,"to be the only one, sole"
유적지,historical site
유제,emulsion
유지하다,"to keep up, maintain"
유창하다,"to be fluent, eloquent"
유치원,kindergarten
유치원생,kindergartener
유치장,"foreigner, alien"
유치하다,barley
유쾌하다,Icheon
유쾌한,pleasant
유학,studying abroad
유학생,"foreign student, student studying abroad"
유행,fashion
유혹하다,"to tempt, lure, seduce, entice"
유효하다,"to be valid, good, available"
육,1.0
육감,public institution
육개장,spicy beef soup
육교,pedestrian overpass
육박하다,"to approach, draw near, close in"
육아,"childcare, care of infants"
육지,"land, shroe, dry land"
육체의,physical
은,silver
은근히,delivery man
은신처,"hideout, hiding place"
은퇴하다,to retire
은행,bank
은행가,banker
은행원,"teller, bank clerk"
음낭,scrotum
음력,lunar calendar
음료수,"beverage, drink"
음성학,phonetics
음식점,"public phone, pay phone"
음악,music
음악가,musician
음악회,concert
음원,"sound source, online music"
음절,syllable
음주운전,drunk driving
음파,sound
음향학,acoustics
읍,town
응급,emergency
응답,being human
의견,"opinion, view, idea"
의논하다,x
의뢰인,client
의료의,medical
의리,"choice, selection, select"
의무,"obligation, duty, responsibility"
의문,"probability, chance, likelihood"
의문사,interrogatives
의미론,semantics
의사,"scene, scene in a movie"
의사과학,pseudoscience
의심,"doubt, suspicion, mistrust"
의심하다,doubt
의외,"surprise, unexpected thing, an accident"
의원,"storm, windstorm"
의자,chair
의지하는,dependent
의학,"medicine, medical science"
의회,parliament
이,7.0
이것저것,this and that
이기적,selfish
이끌다,x
이끼,moss
이다,"is, to be, am, are"
이더넷,ethernet
이데올로기,ideology
이도,Ido
이동,April
이따가,"a little later, after a while"
이따금,sometimes
이래요,to be like this
이랬어요,to be like this
이런,"this sort of, this kind of, this type of"
이럴 거예요,to be like this
이렇게,like this
이렇다,to be like this
이력,"background, personal history, record, career"
이력서,"resume, CV"
이론,theory
이롭다,to have layers
이루어져요,"to overflow, run over, exceed, flood"
이루어졌어요,"to overflow, run over, exceed, flood"
이루어지다,"to overflow, run over, exceed, flood"
이루어질 거예요,"to overflow, run over, exceed, flood"
이른,early
이름,name
이리저리,"here and there, this way and that"
이마,"hospital, clinic"
이메일,email
이목,"pill, tablet"
이미,already
이미지,"stress, strain"
이민,"beach, seaside"
이발소,barber shop
이번,this time
이별하다,"national assembly, congress, parliament"
이불,"comforter, bedding, blanket"
이빨,tooth
이사,"inside country, domestic"
이사하다,to move into a different house
이상하다,"to be strange, weird"
이상형,ideal type
이성,x
이성적,"being rational, reasonable"
이성질체,isomer
이슬,dew
이시스,Isis
이야기,"conversation, talk, speak, tell"
이야기하다,the Joseon period
이어서,"continuing, following, succession, soon after"
이어폰,earphones
이오니아 해,Ionian Sea
이온,ion
이용자,user
이용하다,"to pass an exam, get accepted, pass inspection, become qualified"
이웃,"neighbor, the neighborhood"
이유,"reason, cause, excuse for"
이익,"benefit, profit, gain, interest"
이자,interest
이전,"to prove, verify, demonstrate, confirm"
이제,"pros and cons, strengths and weaknesses"
이쪽,"this side, our side"
이쪽으로,"this way, over here"
이천,Icheon
이치,"reason, logic, principle"
이태원,Itaewon
이틀,"two days, the second day"
이하,"below, less than, and below"
이해하다,"one's mother's parents' home, grandparents house"
이혼,divorce
익명,anonymity
익숙하다,to overeat
익숙해져요,to be unlikeable
익숙해졌어요,to be unlikeable
익숙해지다,"betrayer, traitor"
익숙해질 거예요,to be unlikeable
인,person
인간,"human being, person, mankind"
인구,population
인근,"certificate, license"
인기,"initially, originally, in the first place"
인내심,"patience, endurance, perserverance"
인도,"scope, range, extent, limits"
인도양,Indian Ocean
인류,"humanity, mankind"
인류학,anthropology
인물,x
인사,greetings
인사동,Insadong
인삼,"seafood, marine products"
인상,fart
인상적,"impressive, memorable"
인상주의,Impressionism
인쇄하다,to print
인수하다,"to take over, accept, assume"
인슐린,insulin
인식,"recognition, awareness, cognition, perception, understanding"
인식론,epistemology
인용,"quotation, citation"
인원,"the number of people, personnel, headcount"
인적,being human
인정,"admitting, acknowledgement, accept"
인정하다,"to admit, acknowledge, recognize, accept, concede"
인증,"certification, confirmation, accreditation"
인질,hostage
인천,Incheon
인출하다,"to withdraw, take out"
인터넷,internet
인터뷰,interview
인턴,intern
인트라넷,intranet
인형,"doll, puppet, figure"
일,day
일 거예요,"is, to be, am, are"
일거리,a set
일견,sight
일곱,30.0
일과,"daily tasks, daily work"
일교차,daily temperature range
일기,"club, society, group"
일기예보,weather forecast
일기장,diary
일꾼,"to be out of stock, sold out"
일단,x
일등,x
일리아스,Iliad
일반,underline
일반적,x
일반적인,general
일본어,japanese
일부,"threat, intimidation"
일부러,"intentionally, on purpose, deliberately"
일상생활,everyday life
일식,solar eclipse
일식집,Japanese restaurant
일신교,monotheism
일어나다,x
일어나요,x
일어날 거예요,x
일어났어요,x
일어서다,"to be easy, simple"
일어서요,"to be easy, simple"
일어설 거예요,"to be easy, simple"
일요일,Sunday
일으켜요,"to be difficult, tiring, painful"
일으켰어요,"to be difficult, tiring, painful"
일으키다,pediatrics
일으킬 거예요,"to be difficult, tiring, painful"
일정하다,"to be fixed, constant, regular, uniform"
일정한,regular
일주일,a week
일주일에,in a week
일찍,"early, soon"
일체,"forever, eternally, permanently, for good"
일출,sunrise
일하다,to work
일화,anecdote
일회용,disposable
읽다,to read
읽어요,to read
읽었어요,to read
읽을 거예요,to read
