input,explanation,answer
出口成章(猜一字),提示：“口”明扣。“章”指的是“文章”，扣“文”。文+口=吝。,吝
有心一定先表态(猜一字),提示：“定先”理解为“定”字的先头部分，为“、”。“有心一定先表态”反过来理解就是“态”字的“心”“一”“、”没有了，剩下“人”。,人
时装展览(猜一字),提示：“时装展览”陈列的都是衣服，扣“列衣”，“列”与“衣”组成字“裂”。列+衣=裂。,裂
口里吃个大玉米(猜一字),提示：谜面理解为“口”字把“玉”字吃进去，组成字“国”。口+玉=国。,国
干活安心(猜一字),提示：“干”理解为没有水，即没有“氵（水）”；“干活”理解为“活”字没有“氵”，剩下“舌”。“心”理解为竖心旁“忄”。忄+舌=恬。,恬
半阴半晴天(猜一字),提示：“半阴”指的是“阴”字笔画的一半，取“月”。“半晴天”指的是“晴天”二字笔画的一半，分别为“日一”。月+日+一=胆。,胆
开始下沉就报警(猜一字),提示：“开始”指的是“开”字笔画的初始部分，为“一”。“下沉”指的是“沉”字笔画的下面部分，为“几”。“开始下沉”指的是“一”与“几”调整笔画，组成字“井”。“报警”指的是谜底的读音与“警”相同。,井
一一清查(猜一字),提示：“一一清查”理解为清除掉“查”字的“一一”，剩下“杏”。,杏
用心向上(猜一字),提示：“用心向上”理解为“用”字的中心部分的“丨”往上移动，变成字“冉”。,冉
拳脚相加(猜一字),提示：“拳”理解为“手”，“手”理解为提手旁“扌”。“足”字义为“脚”，与谜面中的“脚”相扣。足+扌=捉。,捉
一来就猜中(猜一字),提示：“一来就猜中”反过来理解“中”字的“一”没有来，剩下“巾”。,巾
银行内部要调整(猜一字),提示：“银行内部要调整”理解为“银行”二字的中间部分，为“艮彳”，“艮”与“彳”调整，组成字“很”。艮+彳=很。,很
孤山之夜(猜一字),提示：“夕”泛指晚上，与谜面中的“夜”相扣。“孤山之夜”指的是孤“山”与“夕”组成字“岁”。夕+山=岁。,岁
入门无犬吠(猜一字),提示：“无犬吠”指的是“吠”字无“犬”，剩下“口”。“入门无犬吠”指的是“口”字进入“门”字里面，组成字“问”。口+门=问。,问
是马不像马，像牛不是牛(猜一字),提示：“马”与十二地支中的“午”相扣，所以说谜底是“马”不像“马”字。“像牛不是牛”理解为谜底“午”字笔画像“牛”字，但是却不是同一个字。,午
一次方(猜一字),提示：“方”理解为方格，形状为“口”。“口”与谜面中的“次”组成字“咨”。口+次=咨。,咨
自古逢秋多愁苦(猜一字),提示：“自古逢秋多愁苦”指的是“愁苦”二字笔画中的“古”“秋”多了，去掉，剩下“心艹”。心+艹=芯。,芯
东坡偕女抵西湖(猜一字),提示：“东坡”理解为“坡”字的东面（右边部分），为“皮”。“西湖”理解为“湖”字的西面（左边部分），为“氵”。“氵”“皮”与谜面中的“女”组成字“婆”。皮+氵+女=婆。,婆
几度人手缺(猜一字),提示：“几”明扣。“人”理解为单人旁“亻”。“手缺”指的是“手”字笔画缺少部分，变成“壬”。壬+亻+几=凭。,凭
围炉取暖(猜一字),提示：“围炉取暖”说明大家用炉子共同烤火，扣“共火”，“共”与“火”组成字“烘”。共+火=烘。,烘
一字生得巧，上下可颠倒，写了两晚上，内容真不少(猜一字),提示：“夕”字义为“晚上”，与谜面中的“晚上”相扣；“两晚上”理解为两个“夕”字，即“夕夕”。夕+夕=多。,多
请君免言(猜一字),提示：“请君免言”意思是让尊驾止口，不说话，扣“尊止口”，“尊止口”组成字“蹲”。尊+止+口=蹲。,蹲
九只手(猜一字),提示：“手”理解为提手旁“扌”。“扌”与谜面中的“九”组成字“扏”。扌+九=扏。,扏
叫人进去作口供(猜一字),提示：“人”理解为单人旁“亻”。“叫人进去作口供”反过来理解就是“口供”的“亻”没有进去，剩下“口共”，“口”与“共”组成字“哄”。口+共=哄。,哄
再三而见方露脸(猜一字),提示：“再三而见”指的是“三”与“而”组成字“面”。三+而=面。“露脸”指的是露面，扣“面”。第二次紧扣谜底。,面
孔孟好学字字存(猜一字),提示：“孔孟”指的是孔子，孟子，扣“子”。“好学字字存”指的是“好学字字”四字笔画都含有的部分，为“子”。,子
客中一人脱衣衫(猜一字),提示：“客中”指的是“客”字笔画的中间部分，为“夂”。“一”指的是小写的数字“1”。“人”理解为单人旁“亻”。“衣”理解为衣字旁“衤”；“脱衣衫”指的是“衫”字笔画的“衤”脱掉，没有了，剩下“彡”。彡+1+亻+夂=修。,修
贪财铸成错(猜一字),提示：“财”理解为金钱，扣“金”，“金”理解为金字旁“钅”。“贪财铸成错”反过来理解就是“错”字没有贪“钅”，剩下“昔”。错-钅=昔。,昔
正是萦心宝黛同(猜一字),提示：“正”指的是正号，符号为“+”；“是”的符号为“+”；“正是”指的是“+”与“+”相连，组成字“艹”。“萦心”指的是“萦”字笔画的中心部分，为“冖”。“宝黛同”指的是贾宝玉与林黛玉名字中相同的部分，为“玉”。玉+艹+冖=莹。,莹
一百减二(猜一字),提示：“一百减二”指的是“一百”笔画减去“二”，剩下“白”。,白
村边放羊(猜一字),提示：“村边”理解为“村”字的一边，取“木”。“木”与谜面中的“羊”组成字“样”。木+羊=样。,样
孤帆乘风去(猜一字),提示：“孤帆”形状为“虫”。“乘”指的是乘法，符号为“×”；“乘风去”指的是“风”字笔画的“×”去掉，剩下“几”。几+虫=虮。,虮
劫后又相逢(猜一字),提示：“劫后”理解为“劫”字的后面部分，为“力”。“力”与谜面中的“又”相逢，组成字“劝”。力+又=劝。,劝
运动员夺三金(猜一字),提示：“三金”理解为三个“金”字，即“金金金”，组成字“鑫”。金+金+金=鑫。,鑫
残花片片落草中(猜一字),提示：“残花”指的是“花”字笔画残缺，去掉部分，剩下“匕”；“残花片片”指的是两片“匕”，即“匕匕”。“落草中”指的是“草”字笔画的中间部分落掉，去掉，剩下“艹十”。艹+十+匕+匕=荜。,荜
中国开放有奔头(猜一字),提示：“中国开”指的是开掉“国”字的中间部分“玉”，剩下“口”。“奔头”指的是“奔”字的头部，为“大”。大+口=因。,因
皆从二天落(猜一字),提示：“皆从二天落”指的是“从二”二字笔画中的“天”落掉，去掉，剩下“人”。,人
雪落横山梅先开(猜一字),提示：“横山”理解为“山”字横过来，变成字“彐”；“雪落横山”理解为“雪”字的“彐”落掉了，没有了，剩下“雨”。“梅先开”理解为“梅”字的先头部分开除了，没有了，剩下“每”。每+雨=霉。,霉
丹心一点到白头(猜一字),提示：“点”的形状为“、”。“白头”理解为“白”字笔画的头部，为“丿”。“丿”“、”与谜面中的“丹”组成字“舟”。,舟
综合门市(猜一字),提示：谜面中的“门”与“市”组成字“闹”。门+市=闹。,闹
真心不二人可靠(猜一字),提示：“真心”理解为“真”字的中心部分，为“三”；“真心不二”理解为“三”字的“二”不要了，剩下“一”。“一”与谜面中的“人”“可”组成字“奇”。一+人+可=奇。,奇
眼睛底儿长，头上春草长(猜一字),提示：“目”字义为“眼睛”，与谜面中的“眼睛”相扣。“眼睛底儿长”理解为“目”字底部的“一”长一些，变成字“且”。“草”理解为草字头“艹”。艹+且=苴。,苴
半亩方田一鉴开(猜一字),提示：“半亩”指的是“亩”字笔画的一半，取“田”。“方”理解为方格，形状为“口”；“方田一鉴开”指的是“口”字笔画拆开，变成“一凵”。,画
草下藏七刀(猜一字),提示：“草”理解为草字头“艹”。“艹”与谜面中的“七刀”组成字“苆”。艹+七+刀=苆。,苆
心火一上便发愁(猜一字),提示：“心火一上便发愁”反过来理解就是“愁”字没有“心”“火”，剩下“禾”。愁-心-火=禾。,禾
当日恋人又变故(猜一字),提示：“亦”字义为“又”，与谜面中的“又”相扣。“当日恋人又变故”指的是“日恋人”三字笔画中的“亦”亡故，去掉，剩下“日心人”。日+心+人=恩。,恩
借才生财(猜一字),提示：“借才生财”反过来理解就是“财”字没有借到“才”，剩下“贝”。财-才=贝。,贝
各负担一半亏缺(猜一字),提示：“各负担一半亏缺”指的是“各负担”三字笔画的一半亏缺，去掉一半，分别剩下“口贝扌”。口+贝+扌=损。,损
色既是空(猜一字),提示：“赤”字义为“红色”，与谜面中的“色”相扣。“赤”字义为“空”，与谜面中的“空”相扣。所以谜底为“赤”。,赤
不是要开口(猜一字),提示：“不是”即“非”之意。“开口”指的是“口”字笔画开除部分，剩下“匚”。匚+非=匪。,匪
墓草离离人不来(猜一字),提示：“墓草离离人不来”指的是“墓”字笔画的中的“草”离别，“人”不要，去掉，剩下“二”。墓-草-人=二。,二
给力才成功(猜一字),提示：“给力才成功”反过来理解就是“功”字没有给“力”，剩下“工”。功-力=工。,工
花草凋日三春去(猜一字),提示：“草”理解为草字头“艹”；“花草凋”理解为“花”字的“艹”凋谢了，没有了，剩下“化”。“日三春去”理解为“春”字的“日三”去掉了，没有了，剩下“人”。人+化=伦。,伦
更深月色半人家(猜一字),提示：“人”理解为单人旁“亻”。“亻”与谜面中的“半”组成字“伴”。亻+半=伴。,伴
的哥换班(猜一字),提示：“的哥换班”理解为将车子交给对方，扣“车交”，“车”与“交”组成字“较”。车+交=较。,较
七载空山一日游(猜一字),提示：“七”明扣。“空山”指的是“山”字笔画的中间部分（丨）空了，剩下“凵”。“一日游”指的是“日”字笔画中的“一”游走，去掉，剩下“口”。口+凵+七=吨。,吨
百里挑一请前靠(猜一字),提示：“百里挑一”理解为“百”字笔画中的“一”挑出来，去掉，剩下“白”。“前靠”指的是“靠”字笔画的前面部分，为“告”。告+白=皓。,皓
此子一来自称帝(猜一字),提示：“帝”理解为皇帝，古时候皇帝称自己为“孤”，扣“孤”。“此子一来自称帝”反过来理解就是“孤”字的“子”没有来，剩下“瓜”。孤-子=瓜。,瓜
春香连日去听琴(猜一字),提示：“连日”理解为连着的“日”字，即“日日”。“春香连日去”理解为“春香”二字去掉“日日”，剩下“三人”“禾”，“三人”与“禾”组成字“秦”。“听琴”理解为谜底与“琴”谐音，“秦”与“琴”谐音相扣。,秦
活在当下方成仙(猜一字),提示：“当下”指的是“当”字笔画的下面部分，为“彐”；“活在当下”指的是“彐”活动，调整笔画，变成字“山”。“活在当下方成仙”反过来理解就是“仙”字笔画中的“山”没有，去掉，剩下“亻”，“亻”扣“人”。,人
空山曲径蹄痕乱(猜一字),提示：“山”明扣。“曲径”的形状为“乛”。“蹄痕”的形状为“函”字笔画没有“山”“乛”的部分。,函
终不喝酒过一生(猜一字),提示：“终不喝酒”指的是“喝酒”二字笔画的终点部分不要，去掉，剩下“口氵”。“过一生”指的是“生”字笔画中的“一”过去，去掉，剩下“浩”笔画没有“口氵”的部分。,浩
早日独立(猜一字),提示：“早日独立”理解为“早”与“立”组成字“章”。早+立=章。,章
老叶枯木草凋零(猜一字),提示：“老叶”指的是“叶”字的繁体字，为“葉”。“草”理解为草字头“艹”。“老叶枯木草凋零”指的是“葉”字笔画中的“木”枯萎，去掉，“艹”凋零，去掉，剩下“世”。,世
宝玉出游到园中(猜一字),提示：“宝玉出游”理解为“宝”字的“玉”出游了，没有了，剩下“宀”。“园中”理解为“园”字的中间部分，为“元”。元+宀=完。,完
有位叔叔一只眼，大事小事都爱管(猜一字),提示：“目”字义为“眼睛”，与谜面中的“眼”相扣。“目”与谜面中的“叔”组成字“督”。目+叔=督。“大事小事都爱管”说明喜欢监督别人，扣“督”，第二次紧扣谜底。,督
东坡西行(猜一字),提示：“东坡”理解为“坡”字的东面（右边部分），为“皮”。“西行”理解为“行”字的西面（左边部分），为“彳”。彳+皮=彼。,彼
回扣钱(猜一字),提示：“钱”在古时候是用贝壳做货币，扣“贝”。“贝”与谜面中的“回”组成字“圆”。回+贝=圆。,圆
转眼又一日(猜一字),提示：“目”字义为“眼睛”，与谜面中的“眼”相扣；“转眼”指的是“目”字转动，变成字“罒”。“又”明扣。“日”明扣。又+日+罒=曼。,曼
且就洞庭赊月色(猜一字),提示：“且”理解为姑且，扣“姑”。“洞庭”理解为洞庭湖，洞庭湖里面都是水，扣“水”，“水”理解为三点水“氵”。“且就洞庭赊月色”理解为“姑”字赊来了“氵”，变成字“沽”。,沽
秋来叶飘零(猜一字),提示：“秋”指的是金秋，扣“金”，“金”理解为金字旁“钅”。“叶飘零”指的是“叶”笔画飘走部分，剩下“十”。,针
失足之后重新做人(猜一字),提示：“失足之后”理解为“足”字失去了后面部分，剩下“口”。“失足之后重新”理解为“口”字重复，即“口口”。“人”理解为单人旁“亻”。亻+口+口=侣。,侣
残月对残花，雁字共斜风(猜一字),提示：“残月”指的是“月”字笔画残缺，剩下“习”；“残月对”指的是“习”成对，即“习习”。“残花”指的是“花”字笔画残缺，剩下“艹”。“雁”指的是大雁按着“人”字形飞行，扣“人”。“斜风”的形状为“彡”。习习+艹+人+彡=蓼。,蓼
白首入仕有几度(猜一字),提示：“白首”指的是“白”字笔画的首部，为“丿”。“仕”明扣。“几”明扣。丿+仕+几=凭。,凭
春阴秋不暖(猜一字),提示：“日”是太阳，太阳是暖和的。“火”是暖和的。“春阴秋不暖”理解为“春”字没有“日”；“秋”字没有“火”，各自剩下部分组成字“秦”。,秦
刚娶过门的妻子跟人跑了(猜一字),提示：“妻子”说明是女的，扣“女”。“走”字义为“跑”，与谜面中的“跑”相扣。“刚娶过门的妻子跟人跑了”说明现在没有妻子了，即“娶”字没有“女”，剩下“取”，“取”与谜面中的“走”组成字“趣”。走+取=趣。,趣
人须边上走(猜一字),提示：“须边”理解为“须”字的一边，取“彡”。“彡”与谜面中的“人”“走”组成字“趁”。彡+人+走=趁。,趁
山乡水、水乡山，而今处处变了样(猜一字),提示：“山”字变成了“彐”。“乡”字变成了“纟”。“水”字变成了“绿”字没有“纟”“彐”的部分。,绿
改坐旋转木马呜呜叫(猜一字),提示：“呜呜叫”指的是谜底的读音与“呜”相同。“改坐旋转木马”指的是“坐”字调整笔画，变成字“巫”；“巫”字形状就像人坐在旋转木马上。,巫
颠连花影暗香深(猜一字),提示：“花影”指的是“花”与影子“花”，形状为“乘”笔画中没有“禾”的部分。“暗”说明没有日光；“暗香”指的是“香”字笔画中的“日”没有，剩下“禾”。,乘
雪后日出时，高度是八尺(猜一字),提示：“雪后”理解为“雪”字的后面部分，为“彐”。“日出时”理解为“时”字的“日”出去了，剩下“寸”。寸+彐=寻。,寻
蟾宫里面(猜一字),提示：“蟾宫”古代神话里说月中有蟾蜍，后来诗文中就用作月亮的代称，扣“月”。“宫里面”理解为“宫里”二字的里面部分，为“口丨”，“口”与“丨”组成字“中”。中+月=肿。,肿
一人无力旁边站，一人有力上边躺，此事并非不公平，只因受损不健康(猜一字),提示：“一人无力旁边站”理解为“人”字旁边无任何东西，“人”理解为单人旁“亻”。“一人有力上边躺”理解为“人”与“力”组成“伤”字没有“亻”的部分。,伤
人隔千里，相约惠来(猜一字),提示：“人隔千里，相约惠来”指的是“人”“千”与“惠”调整笔画，组成字“穗”。,穗
岂可饥不择食(猜一字),提示：“食”理解为食字旁“饣”。“饥不择食”理解为“饥”字不要“饣”，剩下“几”。“几”与谜面中的“岂”组成字“凯”。几+岂=凯。,凯
一张弓箭(猜一字),提示：“一张弓箭”说明是单一的弓箭，扣“单弓”，“单”与“弓”组成字“弹”。单+弓=弹。当然“一”也可以理解为单数，扣“单”，“单”再与谜面中的“弓”组成字“弹”。,弹
入木三分写米字(猜一字),提示：“入木三分写米字”指的是“米”字的“木”去掉，剩下“丷”，“丷”与“三”组成“兰”。,兰
双“十一”(猜一字),提示：谜面中的“十”与“一”组成字“土”。双“十一”说明是一双“土”字，即“土土”，“土”与“土”组成字“圭”。,圭
女排出手便告捷(猜一字),提示：“手”理解为提手旁“扌”。“出手便告捷”理解为“捷”字的“扌”出去了，剩下“疌”。“疌”与谜面中的“女”组成字“婕”。疌+女=婕。,婕
自己(猜一字),提示：“自己”就是指的“本人”，“人”指的是单人旁（亻），“亻”与“本”组成字“体”。亻+本=体。,体
从左看是一天，从右看才是天一(猜一字),提示：“一天”即“一日”，“一”理解为小写数字“1”。1+日=旧。,旧
八戒入户读何声(猜一字),提示：“八戒”理解为“猪八戒”，扣“猪”，“猪”与十二地支中的“亥”相扣。“户”与“门”都含有“家”的意思，“户”扣“门”。门+亥=阂。“读何声”理解为谜底与“何”读声相同，“何”与“阂”同音相扣。,阂
排没了手，软没了欠(猜一字),提示：“手”理解为提手旁“扌”；“排没了手”指的是“排”笔画没了“扌”，剩下“非”。“软没了欠”指的是“软”笔画“欠”没有了，剩下“车”。车+非=辈。,辈
一一展示要小心(猜一字),提示：“一一”二字明扣。“小心”指的是“小”字笔画的中心部分，为“亅”。亅+一+一=于。,于
一条小河没有水(猜一字),提示：“水”理解为三点水“氵”。“一条小河没有水”理解为“河”字没有“氵”，剩下“可”。河-氵=可。,可
来人还债(猜一字),提示：“人”理解为单人旁“亻”。“来人还债”反过来理解就是“债”字的“亻”没有了，剩下“责”。债-亻=责。,责
每忆当初常追恨(猜一字),提示：“每”明扣。“忆当初”指的是“忆”字笔画的初始部分，为“忄”。忄+每=悔。“常追恨”指的是常常悔恨，扣“悔”。第二次紧扣谜底。,悔
容纳芳草称成都(猜一字),提示：“草”理解为草字头“艹”。“艹”与谜面中的“容”组成字“蓉”。艹+容=蓉。“成都”四川省辖地级市，简称“蓉”，第二次紧扣谜底。,蓉
来生注定恨未了(猜一字),提示：“来生注定恨未了”反过来理解就是“恨未了”笔画的“来”没有，剩下“丨艮了”。,限
采摘几朵送佳人(猜一字),提示：“采摘几朵”理解为“朵”字的“几”采摘了，没有了，剩下“木”。“人”理解为单人旁“亻”。“送佳人”理解为“佳”字的“亻”送走了，没有了，剩下“圭”。圭+木=桂。,桂
出狱言犹念，上蔡重牵犬(猜一字),提示：“言”理解为言字旁“讠”；“出狱言”指的是“狱”字笔画中的“讠”出去，去掉，剩下“犾”。“念”为“廿”的大写，“廿”字义为“二十”，“二十”理解为两个“十”字，即“十十”，“十”与“十”组成字“艹”。艹+犾=获。“上蔡”指的是“蔡”字笔画的上面部分，为“艹”。“重牵犬”指的是“犬”字重复，即“犬犬”，其中一个“犬”理解为反犬旁“犭”。犭+犬+艹=获。第二次紧扣谜底。,获
人赴寒山就伺候(猜一字),提示：“人”理解为单人旁“亻”。“寒山”指的是寒山寺，扣“寺”。寺+亻=侍。“伺候”指的是“侍”的字义。,侍
弟弟带的竹帽子遮住了头(猜一字),提示：“竹”理解为竹字头“⺮”。“弟弟带的竹帽子遮住了头”指的是“弟”字上面的“丷”被“⺮”遮住了，变成了字“第”。,第
不是男孩(猜一字),提示：“不是男孩”理解为不是男孩子，说明是女生，扣“女生”，“女”与“生”组成字“姓”。女+生=姓。,姓
村前溪边三方聚(猜一字),提示：“村前”指的是“村”字笔画的前面部分，为“木”。“溪边”指的是“溪”字笔画的一边，取“氵”。“方”理解为方格，形状为“口”；“三方”指的是三个“口”，即“口口口”，“口口口”组成字“品”。品+木+氵=澡。,澡
火炬手的职责(猜一字),提示：“火炬手的职责”就是手里面“执”着火把，燃烧的火的形状为“灬”，扣“执灬”，执+灬=热。,热
春雨连绵妻独宿(猜一字),提示：“雨”理解为下雨天，看不到太阳（日）。“妻独宿”理解为妻子一个人，丈夫没有在家。“春雨连绵妻独宿”理解为“春”字没有“日”，丈“夫”没有在家，剩下“一”。春-日-夫=一。,一
如此口角，似有醉声(猜一字),提示：谜面中的“此口角”三字组成字“嘴”。此+口+角=嘴。“似有醉声”理解为谜底与“醉”同声，谜底“嘴”与“醉”谐音相扣。,嘴
钟馗赴任(猜一字),提示：“钟馗赴任”理解为委任钟馗捉鬼，扣“委鬼”，“委”与“鬼”组成字“魏”。委+鬼=魏。,魏
学上段，会下段(猜一字),提示：“学上段”指的是“学”笔画的上面部分，为“龸”。“会下段”指的是“会”笔画的下面部分，为“云”。,尝
水满金山闹盈盈，吓得许仙不像人，白蛇娘娘当中坐，小青立在下面听(猜一字),提示：“水”理解为三点水“氵”。“吓得许仙不像人”理解为“人”字看着笔画不像了，变成字“厂”。“氵”“厂”与谜面中的“白”“小”组成字“源”。氵+厂+白+小=源。,源
舍金则是同(猜一字),提示：“舍金则是同”反过来理解就是“同”字增加“金”，组成字“銅”。,銅（铜）
从头开始，小心鉴定(猜一字),提示：“从头开始”指的是“从头”二字笔画的开始部分，分别为“人、”。“小心”指的是“小”字笔画的中心部分，为“亅”；“小心鉴定”指的是“亅”需要调整方向。,以
金字旁边不缺少(猜一字),提示：“金”理解为金字旁“钅”。“金字旁边不缺少”理解为“钅”字旁边有“少”，得到字“钞”。钅+少=钞。,钞
独到趣味中(猜一字),提示：“独”字义为“一个”，扣“一”。“趣味中”指的是“趣味”二字合在一起看，中间部分，为“取口”。取+口+一=最。,最
格格一人抿嘴笑(猜一字),提示：“格”理解为方格，形状为“口”；“格格”扣“口口”。“一人”二字明扣。一+人+口+口=哈。“笑”即“哈”之意，第二次紧扣谜底。,哈
国庆携女游异乡(猜一字),提示：“国庆”时间为“十一”，扣“十一”。“女”指的是男丁女口，扣“口”。“异乡”指的是“乡”字笔画变异，调整笔画，变成字“纟”。纟+口+十+一=结。,结
前对上座不甘心(猜一字),提示：“前对”指的是“对”字笔画的前面部分，为“又”。“上座”指的是“座”字笔画的上面部分，为“广”。“不甘心”指的是“甘”字笔画的中心部分不要，去掉，剩下“廿”。廿+又+广=度。,度
一支秃笔走天下(猜一字),提示：“秃笔”理解为毛“笔”秃了，没有“毛”了，剩下“⺮”。“走天下”理解为“天”字的下面部分走了，剩下“一”。“⺮”“一”与谜面中的“一”组成字“竺”。⺮+一+一=竺。,竺
始终不见有客来(猜一字),提示：“始终不见”指的是“始”字笔画的终点部分（后面部分）不见，去掉，剩下“女”。“客”指的是古时候客人的座位在西面，扣“西”。西+女=要。,要
残月屋下友情长(猜一字),提示：“残月”理解为“月”字笔画残缺了，右边的“亅”没有了，剩下左边部分，在旋转一下方向，得到“爫”。“屋下”理解为屋顶的形状，为“冖”。“冖”“爫”与谜面中的“友”组成字“爱”。爫+冖+友=爱。,爱
十加十不等于二十(猜一字),提示：“十”与“十”组成字“艹”。“艹”与谜面中的“加”组成字“茄”。艹+加=茄。“不等于二十”排除了谜底为“二十”的可能性。,茄
此人横竖要相见(猜一字),提示：“人”理解为单人旁“亻”。“横竖”的形状为“一丨”，“一”与“丨”组成字“十”。亻+十=什。,什
残花浮波顺水流(猜一字),提示：“残花”指的是“花”字笔画残缺，剩下“匕”。“浮波”指的是河川，河流，扣“川”；“浮波顺水流”指的是“顺水”笔画中的“川”流走，去掉，剩下“页水”。页+水+匕=颍。,颍
开头(猜一字),提示：“开头”理解为“开”字的头部，为“一”。,一
人生转变是非清(猜一字),提示：“是非”的符号为“+-”，“+”与“-”组成字“土”。“人生转变是非清”指的是“人生”与“土”调整笔画，组成字“珠”。,珠
儿将远行到台北(猜一字),提示：“儿将远行”理解为“远”字的“儿”行走了，剩下“辶二”。“台北”理解为“台”字的北面（上面部分），为“厶”。“辶二”与“厶”组成字“运”。,运
两只狗儿不一样，并肩在那草下躺(猜一字),提示：“犬”字义为“狗”，与谜面中的“狗”相扣。“两只狗儿”理解为两个“犬”字，即“犬犬”。“两只狗儿不一样”理解为一个为“犬”字，另外一个“犬”字为反犬旁“犭”。“草”理解为草字头“艹”。艹+犬+犭=获。,获
为妻扶你下公交(猜一字),提示：“为妻扶你下公交”指的是妻子扶丈夫下公交车，扣“扶夫车”。扶+夫+车=撵。,撵
前前后后都要放在心上(猜一字),提示：“前前”理解为“前”字的前面部分，为“丷”。“后后”理解为“后”字的后面部分，为“口”。“丷”“口”与谜面中的“心”组成字“总”。丷+口+心=总。,总
二度重阳连夜归(猜一字),提示：“重阳”理解为九九重阳节，扣“九九”，“九”与“九”相加等于“十八”，“十”与“八”组成字“木”。“二度重阳”理解为两个“木”字，即“木木”。“夕”字义为“晚上，夜晚”，与谜面中的“夜”相扣。夕+木+木=梦。,梦
一点相会心上人(猜一字),提示：“一”“心”“人”明扣。“点”形状为“、”。,态
有眼看得准，有口咬得紧，有金钻劲大，有火放光明(猜一字),提示：“目”字义为“眼睛”，与谜面中的“眼”相扣。“看得准”说明盯着看，扣“盯”。“有眼看得准”反过来理解就是“盯”字的“目”没有了，剩下“丁”。盯-目=丁。  “咬得紧”理解为叮咬，扣“叮”。“有口咬得紧”反过来理解就是“叮”字的“口”没有了，剩下“丁”。叮-口=丁。 “金”理解为金字旁“钅”。“钻劲大”说明是铁钉，扣“钉”。“有金钻劲大”反过来理解就是“钉”字的“钅”没有了，剩下“丁”。钉-钅=丁。  “放光明”形容的是电灯，扣“灯”。“有火放光明”反过来理解就是“灯”字的“火”没有了，剩下“丁”。灯-火=丁。,丁
白日鬼依在(猜一字),提示：谜面中的“白”与“鬼”组成字“魄”。白+鬼=魄。,魄
心心向党(猜一字),提示：“心心向党”理解为“向党”二字的中心部分，分别为“口口”，“口”与“口”组成字“吕”。口+口=吕。,吕
半里路(猜一字),提示：“半里路”理解为“里路”二字各取一半，分别取“田各”，“田”与“各”组成字“略”。田+各=略。,略
昔日一去站后面(猜一字),提示：“昔日一去”指的是“昔”字笔画中的“日一”去掉，剩下“艹”。“站后”指的是“站”字笔画的后面部分，为“占”。占+艹=苫。,苫
又到集上听南音(猜一字),提示：“集上”理解为“集”字的上面部分，为“隹”。“隹”与谜面中的“又”组成字“难”。隹+又=难。“听南音”理解为谜底与“南”读音相同，谜底“难”与“南”同音相扣。,难
低头不见抬头见(猜一字),提示：“低头不见”理解为“低”字的头部不见了，剩下“氐”。“抬头”理解为“抬”字的头部（前面部分），为“扌”。扌+氐=抵。,抵
人去即可(猜一字),提示：“人”理解为单人旁“亻”。“人去即可”反过来理解就是“可”字增加“亻”，组成字“何”。可+亻=何。,何
阶下草(猜一字),提示：“阶下”指的是“阶”字笔画的末尾部分，为“介”。“草”理解为草字头“艹”。艹+介=芥。,芥
四方团结添后劲(猜一字),提示：“方”理解为方格，形状为“口”。“四方团结”理解为四个“口”，即“口口口口”团结在一起，组成字“田”。“后劲”理解为“劲”字的后面部分，为“力”。力+田=男。,男
上朝(猜一字),提示：“上朝”理解为文武百官上朝，扣“文武”二字，“文”与“武”组成字“斌”。文+武=斌。,斌
前引上台观西江(猜一字),提示：“前引”指的是“引”字笔画的前面部分，为“弓”。“上台”指的是“台”字笔画的上面部分，为“厶”。“西江”指的是“江”字笔画的西面（左边部分），为“氵”。氵+弓+厶=泓。,泓
秋前隐后最可靠(猜一字),提示：“秋前”指的是“秋”字笔画的前面部分，为“禾”。“隐后”指的是“隐”字笔画的后面部分，为“急”。急+禾=稳。“最可靠”指的是做事稳妥，扣“稳”，第二次紧扣谜底。,稳
落草为王(猜一字),提示：“草”理解为草字头“艹”。“艹”与谜面中的“王”组成字“弄”。艹+王=弄。,弄
枝节纵横(猜一字),提示：“纵横”理解为竖横，即符号“丨一”。“枝节纵横”理解为“枝”字节省了“丨一”，剩下“权”。,权
厂长点子好，建厂自有方(猜一字),提示：“点”理解为符号“、”。“厂长点子好”理解为“厂”与“、”组成字“广”。“方”理解为方格，形状为“口”。“建厂自有方”理解为“厂”与“口”组成字“石”。“厂长点子好，建厂自有方”理解为“广”与“石”组成字“矿”。石+广=矿。,矿
话说洪武帝元璋(猜一字),提示：“话说”即言语，扣“言”，“言”理解为言字旁“讠”。“洪武帝元璋”指的是朱元璋，扣“朱”。朱+讠=诛。,诛
没有夸大损失(猜一字),提示：“没有夸大”理解为“夸”字的“大”没有了，剩下“亏”。夸-大=亏。“损失”说明亏损了，扣“亏”，第二次紧扣谜底。,亏
生员与和尚口角，和尚不成和尚，生员不成生员(猜一字),提示：谜面中的“员”与“尚”的“口”共同使用，组成字“赏”。,赏
为人在世需方正(猜一字),提示：“人”“世”二字明扣。“方”理解为方格，形状为“口”。“正”指的是正号，符号为“+”。“为人在世需方正”指的是“人”“世”“口”与“+”组成字“喋”。,喋
