input,explanation,answer
"Bit of a laugh? It's a gas, man! (2-2)",' bit of a laugh? ' is the definition. ' a gas man ' is the wordplay. ' a gas ' becomes ' he ' (chemical symbol for Helium) . ' man ' becomes ' he '. ' he '+' he '=' HE-HE ' ' it's ' is the link.,he-he
Sets up line for listeners primarily in middle-eastern country (6),' middle-eastern country ' is the definition.  ' sets up line for listeners primarily in ' is the wordplay. ' sets up ' shows that the letters should be reversed in order. ' line ' becomes ' l '. ' for ' means one lot of letters go next to another. ' listeners ' becomes ' ears '. ' primarily ' says to take the initial letters. The first letter of ' i n ' is ' i '. ' l '+' ears '+' i '=' learsi ' ' learsi ' back-to-front is ' ISRAEL '.,israel
Check places for funds again (9),' funds again ' is the definition. ' check places ' is the wordplay. ' check ' becomes ' rein ' (both can mean to control or limit) . ' places ' becomes ' vests ' (vest can mean place as in to vest power in someone) . ' rein '+' vests '=' REINVESTS ' ' for ' is the link.,reinvests
"Cattle going to water in Scotland, being smart (8)","' being smart ' is the definition. ' cattle going to water in scotland ' is the wordplay. ' cattle ' becomes ' neat '  . ' going to ' means one lot of letters go next to another. ' water in scotland ' becomes ' ness ' (Loch Ness, Scottish loch) . ' neat '+' ness '=' NEATNESS '",neatness
"Causes excitement in prison with drink (5,2)",' causes excitement ' is the definition. ' prison with drink ' is the wordplay. ' prison ' becomes ' stir ' (informal term for prison) . ' with ' is a charade indicator (letters next to each other). ' drink ' becomes ' sup '  . ' stir '+' sup '=' STIRS UP ' ' in ' acts as a link.,stirs up
Useless-sounding vessel (4),' vessel ' is the definition. (vein is a kind of vessel) ' useless-sounding ' is the wordplay. ' useless ' becomes ' vain '  . ' sounding ' shows a homophone (sound like). ' vain ' is a homophone of ' VEIN '.,vein
Flower bed primarily in Genoa running wild around unit (7),' flower ' is the definition. (begonia is a kind of flower) ' bed primarily in genoa running wild around unit ' is the wordplay. ' primarily ' suggests taking the first letters. ' in ' is an insertion indicator. ' running wild ' is an anagram indicator. ' around ' indicates putting letters inside. ' unit ' becomes ' i ' ('I' can be a synonym of 'unit'**) . The initial letter of ' b ed ' is ' b '. ' genoa ' is an anagram of ' egona '. ' b ' placed within ' egona ' is ' begona '. ' begona ' placed around ' i ' is ' BEGONIA '.,begonia
Powerful fellow supports joke (7),' powerful ' is the definition. ' fellow supports joke ' is the wordplay. ' fellow ' becomes ' gent '  . ' supports ' means one lot of letters go next to another (bottom letters provide a support for the top ones) . ' joke ' becomes ' pun ' (punning is a kind of joking) . ' gent ' after ' pun ' is ' PUNGENT '.,pungent
Ungulate roamed freely with no rain around (9),' ungulate ' is the definition. (dromedary is a kind of ungulate) ' roamed freely with no rain around ' is the wordplay. ' freely ' indicates an anagram. ' with no rain ' becomes ' dry '. ' around ' is an insertion indicator. ' roamed ' anagrammed gives ' romeda '. ' romeda ' inserted inside ' dry ' is ' DROMEDARY '.,dromedary
German dictator battered the French? Right! (6),' german dictator ' is the definition.  ' battered the french? right ' is the wordplay. ' battered ' becomes ' hit '. ' the french? ' becomes ' le '. ' right ' becomes ' r ' (common abbreviation) . ' hit '+' le '+' r '=' HITLER ',hitler
Hospital to improve image - it should make Barnet more attractive (9),' it should make barnet more attractive ' is the definition. ' hospital to improve image ' is the wordplay. ' hospital ' becomes ' h '. ' to improve image ' becomes ' airbrush '. ' h '+' airbrush '=' HAIRBRUSH ',hairbrush
Artisan beer we drink extra warm - bottoms up! (5),' artisan ' is the definition. (thesaurus) ' beer we drink extra warm bottoms up ' is the wordplay. ' bottoms ' indicates one should take the final letters  . ' up ' says the letters should be written backwards (in down clue: letters go upwards) . The final letters of ' bee r w e drin k extr a war m ' are ' rekam '. ' rekam ' reversed gives ' MAKER '.,maker
"Pitcher starts to tip, hampering one moving vessel (7)",' pitcher ' is the definition. ' starts to tip hampering one moving vessel ' is the wordplay. ' starts to ' indicates taking the first letters. ' one moving vessel ' becomes ' rower ' (person who moves a vessel) . The initial letters of ' t ip h ampering ' is ' th '. ' th '+' rower '=' THROWER ',thrower
Large diamonds missing from a wedding ring after repairs (4-7),' large ' is the definition. ('wide-ranging' can be similar in meaning to 'large') ' diamonds missing from a wedding ring after repairs ' is the wordplay. ' diamonds ' becomes ' d ' (abbreviation in bridge say) . ' missing from ' suggests deleting specific letters. ' after ' says to put letters next to each other. ' repairs ' indicates an anagram  . ' a '+' wedding '=' awedding ' ' awedding ' with ' d ' taken out is ' aweding '. ' aweding '+' ring '=' awedingring ' ' awedingring ' is an anagram of ' WIDE-RANGING '.,wide-ranging
"Balls from iron in golf, hit stroke over middle of green (9)","' balls from iron ' is the definition. (ammunition consisting of metal balls) ' golf hit stroke over middle of green ' is the wordplay. ' golf ' becomes ' g ' (phonetic alphabet: alpha,  bravo, charlie etc.) . ' hit ' becomes ' rap '  . ' stroke ' becomes ' shot ' (shot is a kind of stroke) . ' over ' is an insertion indicator. ' middle of ' says to take the centre. The middle of ' gr e en ' is ' e '. ' rap '+' shot '=' rapshot ' ' rapshot ' placed around ' e ' is ' rapeshot '. ' g '+' rapeshot '=' GRAPESHOT ' ' in ' acts as a link.",grapeshot
"“Banter”, as in “nonsense” (5)",' banter ' is the definition. (thesaurus) ' as in nonsense ' is the wordplay. ' in ' indicates putting letters inside. ' nonsense ' becomes ' rot '  . ' as ' going into ' rot ' is ' ROAST '.,roast
Right about America’s corrosive influence (4),' corrosive influence ' is the definition. ' right about america's ' is the wordplay. ' right ' becomes ' rt '. ' about ' indicates putting letters inside. ' america's ' becomes ' us ' ('US' can be a synonym of 'america') . ' rt ' enclosing ' us ' is ' RUST '.,rust
Sign discovered in form of Maori art (7),' art ' is the definition.  ' sign discovered in form of maori ' is the wordplay. ' discovered ' indicates the central letters. ' in ' is an insertion indicator. ' form of ' is an anagram indicator (the letters need to be in another 'form') . The central letters of ' s ig n ' are ' ig '. ' maori ' with letters rearranged gives ' orami '. ' ig ' placed within ' orami ' is ' ORIGAMI '.,origami
"Vegetable - in retrospect, it's an impossibility to eat one (5)",' vegetable ' is the definition. (onion is a kind of vegetable) ' in retrospect it's an impossibility to eat one ' is the wordplay. ' in retrospect ' says the letters should be written backwards. ' it's an impossibility ' becomes ' nono '  . ' to eat ' indicates putting letters inside. ' one ' becomes ' i ' (Roman numeral) . ' nono ' enclosing ' i ' is ' noino '. ' noino ' written backwards gives ' ONION '.,onion
Depiction of country sadly includes temperature (5),' depiction of country ' is the definition. ' sadly includes temperature ' is the wordplay. ' sadly ' becomes ' alas '  . ' includes ' is an insertion indicator. ' temperature ' becomes ' t ' (abbreviation) . ' alas ' going around ' t ' is ' ATLAS '.,atlas
"Outing Democrat -- one in new party (3,4)",' outing ' is the definition.  ' democrat one in new party ' is the wordplay. ' democrat ' becomes ' d '. ' one ' becomes ' i ' (Roman numeral) . ' in ' indicates putting letters inside. ' new ' is an anagram indicator. ' party ' is an anagram of ' aytrp '. ' i ' inserted within ' aytrp ' is ' aytrip '. ' d '+' aytrip '=' DAY TRIP ',day trip
South American bloke at home in most of district (9),' south american ' is the definition.  ' bloke at home in most of district ' is the wordplay. ' bloke ' becomes ' gent '  . ' at home ' becomes ' in ' ('in' can be similar in meaning to 'at home') . ' in ' means one lot of letters goes inside another. ' most of ' means to remove the last letter. ' district ' becomes ' area '  . ' gent '+' in '=' gentin ' ' are a ' with its final letter removed is ' are '. ' gentin ' inserted inside ' are ' is ' ARGENTINE '.,argentine
Public work is best,' best ' is the definition. ('outdo' can be a synonym of 'best') ' public work ' is the wordplay. ' public ' becomes ' out '  . ' work ' becomes ' do ' ('do work' can be a synonym of 'work'**) . ' out '+' do '=' OUTDO ' ' is ' acts as a link.,outdo
Batting order in cricket? (6),' cricket? ' is the definition. (cricket is a kind of insect) ' batting order ' is the wordplay. ' batting ' becomes ' in '. ' order ' becomes ' sect '  . ' in '+' sect '=' INSECT ' ' in ' acts as a link.,insect
Many giving learner advice? Cross about it (8),' many ' is the definition. ('multiple' can be similar in meaning to 'many') ' learner advice? cross about it ' is the wordplay. ' learner ' becomes ' l '. ' advice? ' becomes ' tip '  . ' cross ' becomes ' mule '  . ' about it ' is an insertion indicator. ' l '+' tip '=' ltip ' ' ltip ' placed inside ' mule ' is ' MULTIPLE '. ' giving ' is the link.,multiple
"Yell, losing head, producing blade (3)",' blade ' is the definition. (blade is the word for oar in competitive rowing) ' yell losing head ' is the wordplay. ' yell ' becomes ' roar ' (roar is a kind of yell) . ' losing head ' means to remove the first letter. ' r oar ' with its first letter taken away is ' OAR '. ' producing ' is the link.,oar
Unfashionable group from the word go (6),' the word go ' is the definition. ('from the word go' means from the beginning) ' unfashionable group ' is the wordplay. ' unfashionable ' becomes ' out ' ('out' can be a synonym of 'unfashionable') . ' group ' becomes ' set ' (set is a kind of group**) . ' out '+' set '=' OUTSET ' ' from ' acts as a link.,outset
Snack stuffed in ears! (6),' snack ' is the definition. (informal term for a sandwich) ' stuffed in ears ' is the wordplay. ' stuffed ' indicates an anagram. ' in '+' ears '=' inears ' ' inears ' anagrammed gives ' SARNIE '.,sarnie
Province of person elected in Ireland (6),' province ' is the definition. (thesaurus) ' person elected in ireland ' is the wordplay. ' person elected ' becomes ' mp ' (Member of Parliament) . ' in ' means one lot of letters goes inside another. ' ireland ' becomes ' eire ' ('Eire' can be a synonym of 'ireland') . ' mp ' placed into ' eire ' is ' EMPIRE '. ' of ' acts as a link.,empire
Meeting's leader wearing superb top (4),' top ' is the definition. ('acme' can be a synonym of 'top') ' meeting's leader wearing superb ' is the wordplay. ' leader ' says to take the initial letters. ' wearing ' is an insertion indicator. ' superb ' becomes ' ace '  . The first letter of ' m eetings ' is ' m '. ' m ' placed within ' ace ' is ' ACME '.,acme
"Chilled and cut up, with head removed (4)",' chilled ' is the definition. (icing is a kind of chilling) ' cut up with head removed ' is the wordplay. ' cut up ' becomes ' diced '  . ' with head removed ' means to remove the first letter. ' d iced ' with its first letter taken off is ' ICED '. ' and ' acts as a link.,iced
City hideaway serving up cake (6),' cake ' is the definition.  ' city hideaway ' is the wordplay. ' city ' becomes ' ec ' (the City of London postcode) . ' hideaway ' becomes ' lair '  . ' ec '+' lair '=' ECLAIR ' ' serving up ' is the link.,eclair
"Bridge opponents, in boring style, overlooking some altogether (8)",' altogether ' is the definition. ('entirely' can be a synonym of 'altogether') ' bridge opponents in boring style overlooking some ' is the wordplay. ' bridge opponents ' becomes ' en '  . ' in boring style ' becomes ' tiresomely '. ' overlooking ' is a deletion indicator. ' tiresomely ' with ' some ' taken out is ' tirely '. ' en '+' tirely '=' ENTIRELY ',entirely
"Page in group that can hide in bushes? (4,6)",' that can hide in bushes? ' is the definition. ' page in group ' is the wordplay. ' page ' becomes ' leaf '  . ' group ' becomes ' sect '  . ' leaf '+' in '+' sect '=' LEAF INSECT ',leaf insect
Desk and other things turning up in possession of the French navy (7),' desk ' is the definition.  ' other things turning up in possession of the french navy ' is the wordplay. ' other things ' becomes ' etc '  . ' turning up ' says the letters should be written backwards. ' in possession of ' indicates putting letters inside. ' the french ' becomes ' le '. ' navy ' becomes ' rn ' (abbreviation for Royal Navy) . ' etc ' backwards is ' cte '. ' le '+' rn '=' lern ' ' cte ' placed within ' lern ' is ' LECTERN '. ' and ' is the link.,lectern
"Sweet spread for sandwiches, badly wrapped (8)",' sweet ' is the definition. (pastille is a kind of sweet) ' spread for sandwiches badly wrapped ' is the wordplay. ' spread for sandwiches ' becomes ' paste '. ' badly ' becomes ' ill ' ('ill' can be adverbial as in 'ill-advised') . ' wrapped ' indicates putting letters inside. ' paste ' going around ' ill ' is ' PASTILLE '.,pastille
Easy shot bagging stray animal (8),' animal ' is the definition. The answer is an example. ' easy shot bagging stray ' is the wordplay. ' easy shot ' becomes ' tapin ' (a tap-in is an easy shot eg in football) . ' bagging ' means one lot of letters goes inside another  . ' stray ' becomes ' err ' ('err' can be a synonym of 'stray') . ' tapin ' placed around ' err ' is ' TERRAPIN '.,terrapin
"Remake heavenly with this sad old film (3,4,8)",' old film ' is the definition.  ' remake heavenly with this sad ' is the wordplay. ' remake ' indicates anagramming the letters. ' with ' says to put letters next to each other. ' heavenly '+' this '+' sad '=' heavenlythissad ' ' heavenlythissad ' is an anagram of ' THE LADY VANISHES '.,the lady vanishes
The tree by the way is elder (5),' is elder ' is the definition. (thesaurus) ' the tree by the way ' is the wordplay. ' the tree ' becomes ' fir ' (fir is a kind of tree) . ' by ' means one lot of letters go next to another. ' the way ' becomes ' st '. ' fir '+' st '=' FIRST ',first
Go off to get married in ceremony (4),' ceremony ' is the definition. (thesaurus) ' go off to get married ' is the wordplay. ' go off ' becomes ' pop '. ' to get ' means one lot of letters goes inside another. ' married ' becomes ' m '. ' pop ' placed around ' m ' is ' POMP '. ' in ' is the link.,pomp
"Main road heading north jammed, according to report - a crash (6)",' a crash ' is the definition.  ' main road heading north jammed according to report ' is the wordplay. ' main road ' becomes ' mi '. ' heading north ' shows that the letters should be reversed in order. ' jammed ' becomes ' packed ' ('pack' can be a synonym of 'jam') . ' according to report ' shows a homophone (sound like). ' packed ' is a homophone of ' pact '. ' mi ' in reverse letter order is ' im '. ' im '+' pact '=' IMPACT ',impact
Off the plane - it's a Jumbo (8),' a jumbo ' is the definition. (thesaurus) ' off the plane ' is the wordplay. ' off ' is an anagram indicator. ' the '+' plane '=' theplane ' ' theplane ' with letters rearranged gives ' ELEPHANT '. ' it's ' acts as a link.,elephant
"Captain of industry in public house, working (5)",' captain of industry ' is the definition. ' public house working ' is the wordplay. ' public house ' becomes ' bar '  . ' working ' becomes ' on '. ' bar '+' on '=' BARON ' ' in ' acts as a link.,baron
Occasionally subdued after making love below lecturer's room (8),' room ' is the definition. (thesaurus) ' occasionally subdued after making love below lecturer's ' is the wordplay. ' occasionally ' indicates alternate letters. ' after ' is a charade indicator (letters next to each other). ' making love ' becomes ' atit '  . ' below ' is a charade indicator (letters next to each other). ' lecturer ' becomes ' l '. The alternating letters of ' s u b d u e d ' are ' ude '. ' atit ' after ' l ' is ' latit '. ' ude ' put after ' latit ' is ' LATITUDE '.,latitude
"Nuts roasted, to about hundred degrees (10)",' degrees ' is the definition. (doctorate is a kind of degree) ' nuts roasted to about hundred ' is the wordplay. ' nuts ' indicates an anagram (nuts can mean crazy) . ' about ' means one lot of letters goes inside another. ' hundred ' becomes ' c ' (Roman numeral) . ' roasted '+' to '=' roastedto ' ' roastedto ' with letters rearranged gives ' dotorates '. ' dotorates ' enclosing ' c ' is ' DOCTORATES '.,doctorates
"A saint corrupted, and saint becoming sinner? (8)",' sinner? ' is the definition. ' a saint corrupted and saint ' is the wordplay. ' corrupted ' is an anagram indicator. ' and ' means one lot of letters go next to another. ' saint ' becomes ' st '. ' a '+' saint '=' asaint ' ' asaint ' is an anagram of ' satani '. ' satani '+' st '=' SATANIST ' ' becoming ' is the link.,satanist
Left religious painting unfinished in covered entrance (7),' covered entrance ' is the definition.  ' left religious painting unfinished ' is the wordplay. ' left ' becomes ' port ' (left side of a ship - opposite of starboard) . ' religious painting ' becomes ' icon '  . ' unfinished ' means to remove the last letter. ' ico n ' with its final letter taken off is ' ico '. ' port '+' ico '=' PORTICO ' ' in ' is the link.,portico
Distributing stern notices brings penitence (12),' penitence ' is the definition.  ' distributing stern notices ' is the wordplay. ' distributing ' is an anagram indicator. ' stern '+' notices '=' sternnotices ' ' sternnotices ' is an anagram of ' CONTRITENESS '. ' brings ' is the link.,contriteness
Right to stop crush in Slough (5),' slough ' is the definition. (thesaurus) ' right to stop crush ' is the wordplay. ' right ' becomes ' r ' (common abbreviation) . ' to stop ' indicates putting letters inside. ' crush ' becomes ' mash ' ('mash' can be a synonym of 'crush') . ' r ' put into ' mash ' is ' MARSH '. ' in ' is the link.,marsh
Bones Charlie removed from southern African capital (5),"' bones ' is the definition. (sacrum is a kind of bone) ' charlie removed from southern african capital ' is the wordplay. ' charlie ' becomes ' c ' (phonetic alphabet: alpha, bravo, charlie etc.) . ' removed from ' is a deletion indicator. ' southern ' becomes ' s ' (abbreviation) . ' african capital ' becomes ' Accra ' (capital of Ghana) . ' s '+' accra '=' saccra ' ' saccra ' with ' c ' removed is ' SACRA '.",sacra
Muslim fighter overwhelmed by happiness in pilgrimage site (7),' pilgrimage site ' is the definition. (region of Israel) ' muslim fighter overwhelmed by happiness ' is the wordplay. ' muslim fighter ' becomes ' ali ' (Muhammad Ali) . ' overwhelmed by ' means one lot of letters goes inside another  . ' happiness ' becomes ' glee ' (glee is a kind of happiness) . ' ali ' put into ' glee ' is ' GALILEE '. ' in ' is the link.,galilee
Republican plugs a live diatribe deviating from the acceptable (8),' deviating from the acceptable ' is the definition. ' republican plugs a live diatribe ' is the wordplay. ' republican ' becomes ' r ' (abbreviation) . ' plugs ' means one lot of letters goes inside another (plug can mean to fill a gap) . ' live ' becomes ' be ' ('be' can be a synonym of 'live'**) . ' diatribe ' becomes ' rant '  . ' a '+' be '+' rant '=' aberant ' ' r ' put inside ' aberant ' is ' ABERRANT '.,aberrant
Get on European service to return (4),' get on ' is the definition. (thesaurus) ' european service to return ' is the wordplay. ' european ' becomes ' e ' (abbreviation e.g. EU) . ' service ' becomes ' raf ' (**) . ' to return ' says the letters should be written in reverse. ' e '+' raf '=' eraf ' ' eraf ' written backwards gives ' FARE '.,fare
Lying for the country has caught ambassador finally (9),' lying ' is the definition. (thesaurus) ' for the country has caught ambassador finally ' is the wordplay. ' for ' becomes ' pro '  . ' the country ' becomes ' state ' ('state' can be a synonym of 'country'**) . ' has caught ' means one lot of letters goes inside another. ' finally ' says to take the final letters. The last letter of ' ambassado r ' is ' r '. ' state ' enclosing ' r ' is ' strate '. ' pro '+' strate '=' PROSTRATE ',prostrate
Satanists' leader breaks mirror in church recess (4),' church recess ' is the definition. (part of a church) ' satanists' leader breaks mirror ' is the wordplay. ' leader ' suggests taking the first letters. ' breaks ' is an insertion indicator. ' mirror ' becomes ' ape '  . The first letter of ' s atanists ' is ' s '. ' s ' put inside ' ape ' is ' APSE '. ' in ' is the link.,apse
Italian native travelling around outskirts of Nice (8),' italian ' is the definition. (Venetian is an example) ' native travelling around outskirts of nice ' is the wordplay. ' travelling ' indicates anagramming the letters. ' around ' means one lot of letters goes inside another. ' outskirts of ' means to remove the middle letters. ' n ic e ' with its middle taken out is ' ne '. ' native ' anagrammed gives ' vetian '. ' vetian ' placed around ' ne ' is ' VENETIAN '.,venetian
Lake encircled by a sheltered walkway (5),"' walkway ' is the definition. ' lake encircled by a sheltered ' is the wordplay. ' lake ' becomes ' l '. ' encircled by ' indicates putting letters inside. ' sheltered ' becomes ' lee ' (as in lee side, the side sheltered from wind) . ' a '+' lee '=' alee ' ' l ' inserted within ' alee ' is ' ALLEE '.",allee
Start of play about fighting (6),' fighting ' is the definition. (thesaurus) ' start of play about ' is the wordplay. ' start of play ' becomes ' acti ' (Act I) . ' about ' becomes ' on '. ' acti '+' on '=' ACTION ',action
"Barker carries the first on The Belfry (4,5)",' the belfry ' is the definition. (thesaurus) ' barker carries the first ' is the wordplay. ' barker ' becomes ' bellower '. ' carries ' indicates putting letters inside. ' first ' suggests taking the first letters. The first letter of ' t he ' is ' t '. ' bellower ' enclosing ' t ' is ' BELL-TOWER '. ' on ' acts as a link.,bell tower
"Dreary, ugly? Oddly, on reflection, was attractive (5)",' was attractive ' is the definition. ' dreary ugly? oddly on reflection ' is the wordplay. ' oddly ' indicates alternate letters. ' on reflection ' says the letters should be written backwards. ' dreary '+' ugly '=' drearyugly ' The alternate letters of ' d r e a r y u g l y ' are ' derul '. ' derul ' backwards is ' LURED '.,lured
French man of letters charged and executed on retirement (7),' french man of letters ' is the definition. ' charged and executed on retirement ' is the wordplay. ' charged ' becomes ' tore ' ('tear' can be a synonym of 'charge') . ' and ' means one lot of letters go next to another. ' executed ' becomes ' did ' (doing is a kind of executing) . ' on retirement ' is a reversal indicator. ' tore '+' did '=' toredid ' ' toredid ' backwards is ' DIDEROT '.,diderot
Kind newspaperman’s fixed up (6),' fixed up ' is the definition. ' kind newspaperman's ' is the wordplay. ' kind ' becomes ' sort ' ('sort' can be a synonym of 'kind') . ' newspaperman ' becomes ' ed '. ' sort '+' ed '=' SORTED ',sorted
Like granite or wooden surface scrubbed (7),' like granite ' is the definition. ' wooden surface scrubbed ' is the wordplay. ' wooden ' becomes ' ligneous '  . ' surface scrubbed ' means to remove the first letter. ' l igneous ' with its initial letter taken off is ' IGNEOUS '. ' or ' acts as a link.,igneous
"Republican, having paused curiously, gets info from books? (5,2)",' gets info from books? ' is the definition. ' republican having paused curiously ' is the wordplay. ' republican ' becomes ' r ' (abbreviation) . ' having ' means one lot of letters go next to another. ' curiously ' indicates anagramming the letters. ' paused ' anagrammed gives ' eadsup '. ' r '+' eadsup '=' READS UP ',reads up
The maxim of many a German (5),' the maxim ' is the definition. (thesaurus) ' many a german ' is the wordplay. ' many ' becomes ' m ' (**) . ' a german ' becomes ' otto '  . ' m '+' otto '=' MOTTO ' ' of ' acts as a link.,motto
Overcoat covering Sally on island in August (8),' august ' is the definition. (thesaurus) ' overcoat covering sally on island ' is the wordplay. ' overcoat ' becomes ' mac ' (mac is a kind of overcoat) . ' covering ' means one lot of letters goes inside another. ' sally ' becomes ' jest '  . ' on ' means one lot of letters go next to another. ' island ' becomes ' i '. ' jest '+' i '=' jesti ' ' mac ' enclosing ' jesti ' is ' MAJESTIC '. ' in ' acts as a link.,majestic
"Eat, tongue in cheek by the sound of it? (6)",' eat ' is the definition. (thesaurus) ' tongue in cheek by the sound of it? ' is the wordplay. ' tongue in cheek ' becomes ' injest '. ' by the sound of it? ' shows a homophone (sound like). ' injest ' sounds like ' INGEST '.,ingest
Prompt about going on day-shift (5),' prompt ' is the definition. ('ready' can be similar in meaning to 'prompt') ' about going on day-shift ' is the wordplay. ' about ' becomes ' re ' (regarding**) . ' going on ' means one lot of letters go next to another. ' shift ' indicates anagramming the letters. ' day ' anagrammed gives ' ady '. ' re '+' ady '=' READY ',ready
Men climbing caught by enormous bird (3),"' enormous bird ' is the definition.  ' men climbing caught by ' is the wordplay. ' men ' becomes ' or '  . ' climbing ' shows that the letters should be reversed in order (in a down clue, letters climb up) . ' caught ' becomes ' c ' (cricket abbreviation) . ' by ' is a charade indicator (letters next to each other). ' or ' in reverse letter order is ' ro '. ' ro '+' c '=' ROC '",roc
Boy pinching one set (4),' set ' is the definition. ('laid' can be a synonym of 'set') ' boy pinching one ' is the wordplay. ' boy ' becomes ' lad ' (lad is a kind of boy**) . ' pinching ' indicates putting letters inside (taking inside) . ' one ' becomes ' i ' (Roman numeral) . ' lad ' placed around ' i ' is ' LAID '.,laid
"Function of church, hiding old wickedness? (6)",' function ' is the definition. (cosine is a kind of function) ' church hiding old wickedness? ' is the wordplay. ' church ' becomes ' ce ' (abbreviation for Church of England) . ' hiding ' means one lot of letters goes inside another. ' old ' becomes ' o ' (common abbreviation eg in OE for Old English) . ' wickedness? ' becomes ' sin ' ('sin' can be a synonym of 'wickedness') . ' o '+' sin '=' osin ' ' ce ' going around ' osin ' is ' COSINE '. ' of ' is the link.,cosine
Engineers opening plans for cathedral (8),' cathedral ' is the definition. (French cathedral) ' engineers opening plans ' is the wordplay. ' engineers ' becomes ' re ' (Royal Engineers) . ' opening ' is an insertion indicator (some letters open a gap in others) . ' plans ' becomes ' charts ' (charting is a kind of planning**) . ' re ' put inside ' charts ' is ' CHARTRES '. ' for ' is the link.,chartres
Object very much encountered in Government around end of March (9),' object ' is the definition. ' very much encountered in government around end of march ' is the wordplay. ' very much ' becomes ' so '. ' encountered ' becomes ' met ' ('meet' can be a synonym of 'encounter'**) . ' government ' becomes ' g '. ' around ' is an insertion indicator. ' end of ' says to take the final letters. The final letter of ' marc h ' is ' h '. ' met '+' in '+' g '=' meting ' ' meting ' placed around ' h ' is ' mething '. ' so '+' mething '=' SOMETHING ',something
"New alliance, critical, not half, opposing ministers? (12)",' opposing ministers? ' is the definition. ' new alliance critical not half ' is the wordplay. ' new ' indicates anagramming the letters. ' not half ' suggests halving the letters. ' crit ical ' with half the letters taken is ' crit '. ' alliance '+' crit '=' alliancecrit ' ' alliancecrit ' is an anagram of ' ANTICLERICAL '.,anticlerical
Painful inflammation in shoulders; it is rubbing when turning round (8),' painful inflammation ' is the definition. ' in shoulders it is rubbing when turning round ' is the wordplay. ' in ' indicates the answer is hidden within the clue. ' turning round ' says the letters should be written in reverse. ' sitisrub ' is hidden within ' shoulder s it is rub bing when '. ' sitisrub ' in reverse letter order is ' BURSITIS '.,bursitis
Very unpromising offer to accept right winger (9),' winger ' is the definition. (something with wings) ' very unpromising offer to accept right ' is the wordplay. ' very unpromising ' becomes ' black ' (black can mean inauspicious or unlucky) . ' offer ' becomes ' bid ' ('bid' can be a synonym of 'offer') . ' to accept ' is an insertion indicator. ' right ' becomes ' r ' (common abbreviation) . ' bid ' enclosing ' r ' is ' bird '. ' black '+' bird '=' BLACKBIRD ',blackbird
"Project finished, needing change in the middle (8)",' project ' is the definition. (overhanging is a kind of projecting) ' finished needing change in the middle ' is the wordplay. ' finished ' becomes ' over ' ('over' can be similar in meaning to 'finished') . ' needing ' says to put letters next to each other. ' in the middle ' indicates the central letters. The centre of ' c hang e ' is ' hang '. ' over '+' hang '=' OVERHANG ',overhang
Nurse retains European CV (6),' cv ' is the definition. ' nurse retains european ' is the wordplay. ' nurse ' becomes ' carer '  . ' retains ' indicates putting letters inside. ' european ' becomes ' e ' (abbreviation e.g. EU) . ' carer ' going around ' e ' is ' CAREER '.,career
"Professional performer: I start dancing, beginning to entertain (7)",' professional performer ' is the definition.  ' i start dancing beginning to entertain ' is the wordplay. ' dancing ' is an anagram indicator. ' beginning to ' indicates taking the first letters. The initial letter of ' e ntertain ' is ' e '. ' i '+' start '=' istart ' ' istart ' is an anagram of ' artist '. ' artist '+' e '=' ARTISTE ',artiste
Bird left with English name (5),' name ' is the definition.  ' bird left with english ' is the wordplay. ' bird ' becomes ' tit '  . ' left ' becomes ' l ' (common abbreviation) . ' with ' says to put letters next to each other. ' english ' becomes ' e ' (abbreviation) . ' tit '+' l '+' e '=' TITLE ',title
Hare-brained plan going around Washington aborted at the start (6),' hare-brained ' is the definition.  ' plan going around washington aborted at the start ' is the wordplay. ' plan ' becomes ' map '  . ' going around ' means one lot of letters goes inside another. ' washington ' becomes ' dc ' (Washington DC) . ' at the start ' indicates taking the first letters. The first letter of ' a borted ' is ' a '. ' dc '+' a '=' dca ' ' map ' placed around ' dca ' is ' MADCAP '.,madcap
Mobile phone ring right for loser (2-5),' loser ' is the definition.  ' mobile phone ring right ' is the wordplay. ' mobile ' indicates anagramming the letters. ' ring ' becomes ' o '. ' right ' becomes ' r ' (common abbreviation) . ' phone '+' o '=' phoneo ' ' phoneo ' with letters rearranged gives ' nohope '. ' nohope '+' r '=' NO-HOPER ' ' for ' acts as a link.,no-hoper
Manuscript that can make a fool out of one (5),' manuscript that ' is the definition. ' folio ' can be an answer for ' manuscript '  . I am unsure of the rest of the definition. ' make a fool out of one ' is the wordplay. ' make ' indicates an anagram. ' out of ' means one lot of letters goes inside another. ' one ' becomes ' i ' (Roman numeral) . ' fool ' anagrammed gives ' folo '. ' folo ' going around ' i ' is ' FOLIO '. ' can ' acts as a link.,folio
Property of trees in meadows: healthy inside with sun (9),' property of trees ' is the definition. ' meadows healthy inside with sun ' is the wordplay. ' meadows ' becomes ' leas '  . ' healthy ' becomes ' fine '. ' inside ' means one lot of letters goes inside another. ' with ' means one lot of letters go next to another. ' sun ' becomes ' s '. ' leas ' enclosing ' fine ' is ' leafines '. ' leafines '+' s '=' LEAFINESS ' ' in ' is the link.,leafiness
